,job position,company,location
0,AEA/ Aerospace Auditor (AS 9100/ 9110/9120),TÜV SÜD,"Hyderabad, Telangana, India"
1,Recruiter – US Staffing,Belcan,"Hyderabad, Telangana, India"
2,Principal Engineer,Collins Aerospace,"Hyderabad, Telangana, India"
3,CATIA Engineer,Cyient,"Hyderabad, Telangana, India"
4,Recruiter,Cyient,"Hyderabad, Telangana, India"
