,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
1169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kandula Lakshumma Memorial College of Engineering for Women Kadapa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kandula Obula Reddy Memorial College of Engineering Cuddapah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kandula Srinivasa Reddy College of Engineering Cuddapah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kanpur Institute of Technology Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Karaikudi Institute of Technology Karaikudi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Karavali Institute of Technology Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Karpagam University Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Karur College of Engineering Karur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kasireddy Narayan Reddy College of Engineering and Research Hayathnagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kathir College of Engineering Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kaushik College of Engineering Visakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kaustav Institute of Self Domain Khordha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kautilya Institute of Technology and Engineering and School of Management Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KBR Engineering College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KC College of Engineering and Management Studies Thane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KC Institute of Technology Pandoga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KCE Society College of Engineering and Information Technology Jalgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KDGM's Dr. Uttamrao Mahajan Institute of Engineering and Tec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KDK College of Engineering Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kelappaji College of Agricultural Engineering and Technology Tavanoor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keshav Memorial Institute of Technology Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keystone Group of Institutions-Faculty of Engineering Jhunjhunu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khader Memorial College of Engineering and Technology Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khaja Banda Nawaz College of Engineering Gulbarga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khalsa College of Engineering and Technology Amritsar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khammam Institute of Technology and Sciences Khammam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khandelwal College of Architecture & Design Bareilly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khandelwal College of Management Science and Technology Bareilly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khurana Sawant Institute of Engineering and Technology Hingoli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KIMS College of Engineering Amalapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,King College of Technology Namakkal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kings College of Engineering Pudukottai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kings Engineering College Sriperumbudur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kingston Engineering College Vellore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KIPM College of Engineering and Technology Gorakhpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kishan Institute of Engineering & Technology Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kishan Institute of Information Technology Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KIT and KIM Technical Campus Karaikudi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KIT's College of Engineering Kolhapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KITE Women College of Professional Engineering Sciences Ranga Reddy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ College of Engineering and Management Research Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KK College of Engineering and Management Dhanbad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KKC Institute of Technology and Engineering for Women Chittoor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KKC Institute of Technology and Engineering Puttur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KKR and KSR Institute of Technology and Sciences Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLE College of Engineering and Technology Chikodi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLR College of Engineering and Technology Paloncha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLS Institute of Engineering and Technology  Bijnor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLS Vishwanathrao Deshpande Rural Institute of Technology Haliyal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMBB College of Engineering and Technology Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMCT College of Architecture Manassery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMCT College of Engineering for Women Kozhikode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMEA College of Architecture Aluva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMM Institute of Technology and Science Tirupati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMP College of Engineering Ernakulam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KNSK College of Engineering Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kodada Institute of Technology and Science for Women Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kommuri Pratap Reddy Institute of Technology Ghatkesar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Konkan Gyanpeeth College of Engineering Karjat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kothiwal Institute of Technology & Professional Studies Moradabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kottam College of Engineering Kurnool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kottam Karunakara Reddy Institute of Technology Kurnool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kottayam Institute of Technology and Science Kottayam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Koustuv Institute of Self Domain Patia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Koustuv Institute of Technology Khordha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Koustuv School of Engineering Patia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KPR Institute of Engineering and Technology Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KR Gouri Amma College of Engineering for Women Alappuzha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krantiveer Vasantrao Narayanrao Naik Institute of Engineering Education and Research Nasik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Chaitanya Institute of Technology and Sciences Markapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Engineering College Bhilai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Girls Engineering College Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Institute of Management & Technology Moradabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Institute of Technology Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Murthy Institute of Technology and Engineering Ghatkesar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna Vidyapeeth of Management and Technology Bhiwani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishna's Pragati Institute of Technology Rajahmundry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishnasamy College of Engineering and Technology Cuddalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krishnaveni Engineering College for Women Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KRS College of Engineering Tiruvanamalai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kruti Institute of Technology and Engineering Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kruttika Institute of Technical Education Khordha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KS Institute of Technology Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KS Jain Institute of Engineering & Technology Modinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KS Rangasamy College of Technology Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kshatriya College of Engineering Nizamabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KSK College of Engineering and Technology Cuddalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KSN Institute of Technology Nellore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KSR College of Engineering Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KSR Institute for Engineering and Technology Namakkal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KT Patil College of Engineering Osmanabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KTVR Knowledge Park for Engineering and Technology Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KU College of Engineering and Technology Warangal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kunwar Satyavira College of Engineering & Management Bijnor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kuvempu University Shankaraghatta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KVG College of Engineering Sullia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KVM College of Engineering and IT Alappuzha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakmi Chand Institute of Technology Bilaspur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakshmi Bai Sahuji Institute of Engineering and Technology Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakshmi Chand Rajani College of Engineering and Technology Thiru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakshmi Narain Academy of Technology Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakshmi Narain College of Technology Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lakshya Technical Campus Shahjahanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lala Lajpat Rai Institute of Engineering and Technology Moga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Laljibhai Chaturbhai Institute of Technology Mehsana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Laqshya Institute of Technology and Sciences Khammam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Late Bhausaheb Hiray SS Trust's College of Architecture Ba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Late GN Sapkal College of Engineering Nashik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Late Ramoti Devi Institute of Engineering Ujjain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Late Shri Bapuraoji Deshmukh College of Architechure Sewagram W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Latha Mathavan Engineering College Madurai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Laxmi Institute of Technology Sarigam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Laxmi Narayan Institute of Technology Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Laxmipati Institute of Science and Technology Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LBS College of Engineering Kasargod,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LBS Institute of Technology for Women Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LDC Institute of Technical Studies Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Leads Institute of Technology and Engineering Bharuch,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lendi Institute of Engineering and Technology Vizianagaram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lenora College of Engineering Ramachandrapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lingarajappa Engineering College Bidar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lingaya GVKS Institute of Management and Technology Faridabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lingaya Institute of Management and Technology for Women Faridabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lingayas Institute of Management and Technology Vijaywada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lord Ayyappa Institute of Engineering and Technology Kancheepuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1294,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lord Jegannath College of Engineering and Technology Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lord Krishna College of Engineering Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lord Krishna College of Technology Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lord Venkateshwaraa Engineering College Kancheepuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lourdes Matha College of Science and Technology Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lourdes Mount College of Engineering and Technology Mullangana Vilai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Loyola Institute of Technology and Management Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
